"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Edit Profile","change interests","0","0","1","0","0"
"","Invite friends","invite friends","0","0","1","0","0"
"","FAQs","FAQs","0","1","0","0","0"
"","Bank Card","Add card","0","0","1","0","0"
"","Complete wallet addresses","Complete wallet addresses","0","0","1","0","0"
"","Invite friends","cancel invite","0","0","1","0","0"
"","Login page's functions","check show/hide password","0","0","1","0","0"
"","Login page's functions","check forget password","0","0","1","0","0"
"","Edit Profile","change avatar","0","0","1","0","0"
"","Edit Profile","edit self intro","0","0","1","0","0"
"","Login && Log out","Login","0","0","1","0","0"
"","Notifications","notifications","0","1","0","0","0"
"","Purchases","empty purchase","0","0","1","0","0"
"","Login error","login with nonexistent account","0","0","1","0","0"
"","Login page's functions","Check Not You","0","0","1","0","0"
"","Edit Profile","change username","0","0","1","0","0"
"","Privacy policy","privacy policy","0","1","0","0","0"
"","Bank Card","Delete card","0","0","1","0","0"
"","Login && Log out","Log out","0","0","1","0","0"
"","Follow","following","0","0","1","0","0"
"","Follow","followers","0","0","1","0","0"
"","Follow","Empty list","0","0","1","0","0"
"","Login page's functions","check terms of use","0","0","1","0","0"
"","Contact us","contact us","0","1","0","0","0"
"","Shipping address","Delete shipping address","0","0","1","0","0"
"","Login error","login with error password","0","0","1","0","0"
"","Shipping address","Add shipping address","0","0","1","0","0"
"","Login page's functions","check create one now","0","0","1","0","0"
"","Login page's functions","check privacy policy","0","0","1","0","0"
