"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 20 18:42:35 CST 2023","Thu Jul 20 18:42:57 CST 2023","22496","testcase.profile","test_edit_profile","TestEditProfile","","","test4_change_interests",""
"passed","Thu Jul 20 18:43:33 CST 2023","Thu Jul 20 18:43:42 CST 2023","9269","testcase.profile","test_invite_friends","TestInviteFriends","","","test1_invite_friends",""
"broken","Thu Jul 20 18:45:42 CST 2023","Thu Jul 20 18:45:56 CST 2023","14417","testcase.settings","test_faqs","TestPurchases","","","test1_FAQs",""
"passed","Thu Jul 20 18:48:57 CST 2023","Thu Jul 20 18:49:43 CST 2023","45829","testcase.wallet_addresses","test_card","TestCard","","","test1_add_card",""
"passed","Thu Jul 20 18:52:23 CST 2023","Thu Jul 20 18:54:31 CST 2023","128482","testcase.wallet_addresses","test_complete_profile","TestCard","","","test1_complete_profile",""
"passed","Thu Jul 20 18:43:42 CST 2023","Thu Jul 20 18:43:48 CST 2023","5530","testcase.profile","test_invite_friends","TestInviteFriends","","","test2_cancel_invite",""
"passed","Thu Jul 20 18:39:20 CST 2023","Thu Jul 20 18:39:35 CST 2023","14653","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test2_check_show_password",""
"passed","Thu Jul 20 18:39:35 CST 2023","Thu Jul 20 18:39:48 CST 2023","13047","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test3_check_forget_password",""
"passed","Thu Jul 20 18:41:33 CST 2023","Thu Jul 20 18:41:55 CST 2023","21308","testcase.profile","test_edit_profile","TestEditProfile","","","test1_change_avatar",""
"passed","Thu Jul 20 18:42:14 CST 2023","Thu Jul 20 18:42:35 CST 2023","20448","testcase.profile","test_edit_profile","TestEditProfile","","","test3_change_self_intro",""
"passed","Thu Jul 20 18:38:39 CST 2023","Thu Jul 20 18:38:50 CST 2023","11265","testcase.login_logout","test_login_logout","TestLoginLogout","","","test1_loginUserExisted",""
"broken","Thu Jul 20 18:46:47 CST 2023","Thu Jul 20 18:47:01 CST 2023","14200","testcase.settings","test_notification","TestPurchases","","","test1_notifications",""
"passed","Thu Jul 20 18:48:36 CST 2023","Thu Jul 20 18:48:49 CST 2023","13167","testcase.settings","test_purchases","TestPurchases","","","test1_empty_purchase",""
"passed","Thu Jul 20 18:40:55 CST 2023","Thu Jul 20 18:41:09 CST 2023","13881","testcase.login_logout","test_login_with_wrong_info","TestErrorLogin","","","test1_login_with_nonexistent_account",""
"passed","Thu Jul 20 18:39:12 CST 2023","Thu Jul 20 18:39:20 CST 2023","8037","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test1_check_not_you",""
"passed","Thu Jul 20 18:41:55 CST 2023","Thu Jul 20 18:42:14 CST 2023","19649","testcase.profile","test_edit_profile","TestEditProfile","","","test2_change_username",""
"broken","Thu Jul 20 18:48:08 CST 2023","Thu Jul 20 18:48:28 CST 2023","19682","testcase.settings","test_privacy_policy","TestPurchases","","","test1_privacy_policy",""
"passed","Thu Jul 20 18:49:43 CST 2023","Thu Jul 20 18:50:10 CST 2023","26798","testcase.wallet_addresses","test_card","TestCard","","","test2_delete_card",""
"passed","Thu Jul 20 18:38:50 CST 2023","Thu Jul 20 18:39:04 CST 2023","13588","testcase.login_logout","test_login_logout","TestLoginLogout","","","test2_LogOutUserExisted",""
"passed","Thu Jul 20 18:43:15 CST 2023","Thu Jul 20 18:43:19 CST 2023","3992","testcase.profile","test_follow","TestFollow","","","test2_following",""
"passed","Thu Jul 20 18:43:05 CST 2023","Thu Jul 20 18:43:15 CST 2023","10520","testcase.profile","test_follow","TestFollow","","","test1_followers",""
"passed","Thu Jul 20 18:43:19 CST 2023","Thu Jul 20 18:43:25 CST 2023","5548","testcase.profile","test_follow","TestFollow","","","test3_follow_list",""
"passed","Thu Jul 20 18:39:48 CST 2023","Thu Jul 20 18:40:08 CST 2023","19942","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test4_check_terms_of_use",""
"broken","Thu Jul 20 18:44:38 CST 2023","Thu Jul 20 18:44:52 CST 2023","14233","testcase.settings","test_contact_us","TestPurchases","","","test1_contact_us",""
"passed","Thu Jul 20 18:51:37 CST 2023","Thu Jul 20 18:52:15 CST 2023","38036","testcase.wallet_addresses","test_shipping_address","TestShippingAddress","","","test2_delete_address",""
"passed","Thu Jul 20 18:41:09 CST 2023","Thu Jul 20 18:41:26 CST 2023","16843","testcase.login_logout","test_login_with_wrong_info","TestErrorLogin","","","test2_login_with_error_password",""
"passed","Thu Jul 20 18:50:17 CST 2023","Thu Jul 20 18:51:08 CST 2023","51070","testcase.wallet_addresses","test_shipping_address","TestShippingAddress","","","test1_add_address",""
"passed","Thu Jul 20 18:40:29 CST 2023","Thu Jul 20 18:40:47 CST 2023","17743","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test6_check_create_one_now",""
"passed","Thu Jul 20 18:40:08 CST 2023","Thu Jul 20 18:40:29 CST 2023","21897","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test5_check_privacy_policy",""
